indices,x,y,localized_index,localized_x,localized_y,localized_chi_sq
4,97.24630238291316,82.48975634843508,4.0,97.24630289468574,82.48975559763005,7.612461040105988e-05
4,110.14468038129232,70.20685440479049,4.0,110.14468046661868,70.20685440975858,7.91899073073355e-05
3,73.49111842713782,59.06067167031309,3.0,73.49111864030485,59.06067139693365,5.872193693388015e-05
3,61.78378226922234,71.7679382805643,3.0,61.783782569533095,71.76793785650699,4.1794939939347214e-05
3,58.00861445824973,68.42841791971739,3.0,58.00861427598154,68.42841805240427,4.853552273369589e-05
3,76.22062281540428,63.01605221828313,3.0,76.22062316779632,63.01605178961288,6.555410387267456e-05
4,101.02240806048636,79.70548507216836,4.0,101.02240797474722,79.70548518825927,4.266744832795432e-06
4,93.61732316109,81.05358313682514,4.0,93.61732318741986,81.05358313897173,5.3454853938400535e-05
4,94.3061463945642,84.42150627979218,4.0,94.30614635919258,84.42150640679995,6.936300895026697e-05
4,84.46558350128626,103.99209573857505,4.0,84.46558327451551,103.99209606203553,4.644925691663775e-05
4,98.03370081148024,78.6711050257163,4.0,98.03370081601,78.67110505084202,4.42691385823396e-06
5,69.01352656213861,75.05296878211274,5.0,69.01352661088697,75.05296879062692,7.504164089090812e-05
5,74.62351192501899,66.19260785268636,5.0,74.62351202257669,66.19260793473818,5.6134937170045765e-05
5,82.396391324582,58.44990261242074,5.0,82.39639132966182,58.449902594688645,1.6788804975745565e-05
5,67.48189961529383,73.52277845876804,5.0,67.48189966780262,73.52277850092479,2.169830812207441e-05
5,67.83860691255526,71.4597647641378,5.0,67.83860693692338,71.45976475392763,3.154705558043634e-05
